"oocyte","rate","activity"
"oocyte_1",2.72314341632899,"quiescent"
"oocyte_2",1.03890365836972,"quiescent"
"oocyte_3",0.58433296279057,"quiescent"
"oocyte_4",1.18270960266206,"quiescent"
"oocyte_5",0.026703944952125,"quiescent"
"oocyte_1",3.24056205656379,"quiescent"
"oocyte_2",0.611787434065674,"quiescent"
"oocyte_3",-0.188361719057864,"quiescent"
"oocyte_4",0.570285505514153,"quiescent"
"oocyte_5",0.267364209793639,"quiescent"
"oocyte_1",1.86695693593253,"quiescent"
"oocyte_2",4.73172829040202,"quiescent"
"oocyte_3",1.59636121512844,"quiescent"
"oocyte_4",0.142221619459893,"quiescent"
"oocyte_5",0.399766940904716,"quiescent"
"oocyte_1",10.4349650218279,"quiescent"
"oocyte_2",4.22696010569233,"quiescent"
"oocyte_3",2.94070453208166,"quiescent"
"oocyte_4",3.95376049423762,"quiescent"
"oocyte_5",2.27750234248344,"quiescent"
"oocyte_1",-0.728615569795311,"quiescent"
"oocyte_2",2.4716009791186,"quiescent"
"oocyte_3",2.07438518159565,"quiescent"
"oocyte_4",0.787468845909601,"quiescent"
"oocyte_5",-0.157806998425003,"quiescent"
"oocyte_1",0.612834740483989,"quiescent"
"oocyte_2",3.52996826882812,"quiescent"
"oocyte_3",2.08769494882044,"quiescent"
"oocyte_4",1.82238824847867,"quiescent"
"oocyte_5",-0.552206356884608,"quiescent"
"oocyte_1",9.18315445951581,"quiescent"
"oocyte_2",3.86470396124874,"quiescent"
"oocyte_3",5.35087302076475,"quiescent"
"oocyte_4",0.560425567928071,"quiescent"
"oocyte_5",1.85699303487259,"quiescent"
"oocyte_1",7.81437980249383,"quiescent"
"oocyte_2",0.583920625805504,"quiescent"
"oocyte_3",1.19202493391749,"quiescent"
"oocyte_4",1.65304178254831,"quiescent"
"oocyte_5",1.25727755466905,"quiescent"
"oocyte_1",9.83184152575229,"quiescent"
"oocyte_2",3.89574949664958,"quiescent"
"oocyte_3",2.94466507976046,"quiescent"
"oocyte_4",1.51165101138056,"quiescent"
"oocyte_5",0.335111940918418,"quiescent"
