"activity","imageID","image","oocyte","area","mean","n_pixels","cum_intensity","cum_int_wo_bgd","oocyte_vol","relative_conc_um3"
"active","SUM_raw_worm3_2_Airyscan Processing_exp1","SUM_raw_worm3_2_Airyscan Processing","oocyte_5",68.2586,12.6169,15164,191323,-209440.593321513,375.422702016658,0
"active","SUM_raw_worm4_Airyscan Processing_exp1","SUM_raw_worm4_Airyscan Processing","oocyte_1",907.2855,170.5087,201558,34367400,29340794.2362589,4990.0718130489,5879.83406562076
"active","SUM_raw_worm4_Airyscan Processing_exp1","SUM_raw_worm4_Airyscan Processing","oocyte_2",612.6623,97.4887,136106,13268802,9874487.68809102,3369.64404383271,2930.42456699953
"active","SUM_raw_worm4_Airyscan Processing_exp1","SUM_raw_worm4_Airyscan Processing","oocyte_3",557.084,44.2625,123759,5477880,2391484.50731383,3063.96321411762,780.51998023173
"active","SUM_raw_worm4_Airyscan Processing_exp1","SUM_raw_worm4_Airyscan Processing","oocyte_4",528.4959,33.4469,117408,3926937,998927.546099291,2906.72834333763,343.660441605727
"active","SUM_raw_worm4_Airyscan Processing_exp1","SUM_raw_worm4_Airyscan Processing","oocyte_5",266.6787,33.5545,59244,1987901,510429.344858156,1466.73322067231,348.004216216082
"active","SUM_raw_worm5_Airyscan Processing_exp1","SUM_raw_worm5_Airyscan Processing","oocyte_1",761.0452,156.271,169070,26420745,19616849.099143,4185.7502130016,4686.57901233809
"active","SUM_raw_worm5_Airyscan Processing_exp1","SUM_raw_worm5_Airyscan Processing","oocyte_2",669.7486,84.4323,148788,12562508,6574822.05159575,3683.6186354296,1784.88130892762
"active","SUM_raw_worm5_Airyscan Processing_exp1","SUM_raw_worm5_Airyscan Processing","oocyte_3",573.9371,41.8441,127503,5335247,204134.803590426,3156.65528720851,64.6680695284109
"active","SUM_raw_worm5_Airyscan Processing_exp1","SUM_raw_worm5_Airyscan Processing","oocyte_4",551.9255,30.4784,122613,3737050,-1197273.58249114,3035.59112123242,0
"active","SUM_raw_worm5_Airyscan Processing_exp1","SUM_raw_worm5_Airyscan Processing","oocyte_5",618.8337,30.059,137477,4132425,-1400071.57989066,3403.58657380269,0
"active","SUM_raw_worm5_Airyscan Processing_exp1","SUM_raw_worm5_Airyscan Processing","oocyte_6",520.659,31.6193,115667,3657305,-997490.215972222,2863.62553905043,0
"active","SUM_raw_worm6_Airyscan Processing_exp1","SUM_raw_worm6_Airyscan Processing","oocyte_1",502.2979,122.4029,111588,13658697,10741237.9730496,2762.63970407774,3888.03431630815
"active","SUM_raw_worm6_Airyscan Processing_exp1","SUM_raw_worm6_Airyscan Processing","oocyte_2",511.5122,74.2042,113635,8432191,5461213.32742317,2813.31830280024,1941.19994242647
"active","SUM_raw_worm6_Airyscan Processing_exp1","SUM_raw_worm6_Airyscan Processing","oocyte_3",462.677,33.9761,102786,3492269,804937.534751773,2544.72420532077,316.316217320811
"active","SUM_raw_worm6_Airyscan Processing_exp1","SUM_raw_worm6_Airyscan Processing","oocyte_4",487.7495,15.3523,108356,1663518,-1169440.65437352,2682.62347004201,0
"active","SUM_raw_worm6_Airyscan Processing_exp1","SUM_raw_worm6_Airyscan Processing","oocyte_5",633.5576,13.3932,140748,1885064,-1794780.8141844,3484.56835026646,0
"active","SUM_raw_worm6_Airyscan Processing_exp1","SUM_raw_worm6_Airyscan Processing","oocyte_6",482.564,13.7025,107204,1468962,-1333877.70969267,2654.10283216788,0
"active","SUM_raw_worm7_Airyscan Processing_exp1","SUM_raw_worm7_Airyscan Processing","oocyte_1",1005.028,153.7651,223272,34331451,27698814.4702128,5527.65612797832,5010.9510846767
"active","SUM_raw_worm7_Airyscan Processing_exp1","SUM_raw_worm7_Airyscan Processing","oocyte_2",584.6729,76.546,129888,9942411,6083889.13617021,3215.70192030728,1891.93192868724
"active","SUM_raw_worm7_Airyscan Processing_exp1","SUM_raw_worm7_Airyscan Processing","oocyte_3",601.3729,35.3085,133598,4717149,748415.9071513,3307.55223846092,226.274856205916
"active","SUM_raw_worm7_Airyscan Processing_exp1","SUM_raw_worm7_Airyscan Processing","oocyte_4",324.8993,35.0252,72178,2528048,383890.024763593,1786.94670180416,214.830148194126
"active","SUM_raw_worm7_Airyscan Processing_exp1","SUM_raw_worm7_Airyscan Processing","oocyte_5",562.2696,33.4347,124911,4176360,465687.53962766,3092.48385199174,150.586894520962
"active","SUM_raw_worm9_Airyscan Processing_exp1","SUM_raw_worm9_Airyscan Processing","oocyte_1",694.9877,154.5639,154395,23863891,19328150.0625,3822.43392758256,5056.50337682195
"active","SUM_raw_worm9_Airyscan Processing_exp1","SUM_raw_worm9_Airyscan Processing","oocyte_2",485.2963,86.8033,107811,9358351,6191132.0731383,2669.13063354774,2319.53130930471
"active","SUM_raw_worm9_Airyscan Processing_exp1","SUM_raw_worm9_Airyscan Processing","oocyte_3",486.8853,45.0195,108164,4869487,1691897.81146572,2677.87003039632,631.807291713603
"active","SUM_raw_worm9_Airyscan Processing_exp1","SUM_raw_worm9_Airyscan Processing","oocyte_4",578.6455,34.1755,128549,4393222,616772.233008274,3182.55163027825,193.798028959031
"active","SUM_raw_worm9_Airyscan Processing_exp1","SUM_raw_worm9_Airyscan Processing","oocyte_5",484.5266,34.888,107640,3755339,593143.627659574,2664.8971013633,222.576559281083
"active","SUM_raw_worm10_Airyscan Processing_exp2","SUM_raw_worm10_Airyscan Processing","oocyte_1",902.505,117.867,200496,23631864,18100422.8702128,4963.77935000869,3646.50029622712
"active","SUM_raw_worm10_Airyscan Processing_exp2","SUM_raw_worm10_Airyscan Processing","oocyte_2",847.1383,92.1532,188196,17342868,12150768.931383,4659.26212270687,2607.87408207114
"active","SUM_raw_worm10_Airyscan Processing_exp2","SUM_raw_worm10_Airyscan Processing","oocyte_3",766.0597,46.186,170184,7860124,3164954.13510638,4213.33006594585,751.176405733568
"active","SUM_raw_worm10_Airyscan Processing_exp2","SUM_raw_worm10_Airyscan Processing","oocyte_4",697.1484,34.9298,154875,5409755,1136941.85172872,3834.31752669677,296.517396854242
"active","SUM_raw_worm2_Airyscan Processing_exp2","SUM_raw_worm2_Airyscan Processing","oocyte_1",780.4146,106.7552,173373,18508467,12480407.1632535,4292.28172756093,2907.63932924446
