image_ID_name,Cell,granule,Surface_Area,Volume,sphericity,MeanInt,CumInt,MedianInt,Volume_um3
w11-3,2,13,211.385397849678,200,0.782400533521638,467.245,93449,455,0.450136330084
w11-3,2,14,69.4516524927925,32,0.701834737310172,282.5,9040,287.5,0.07202181281344
w11-3,2,15,110.759219259406,56,0.63909132635125,455.607142857143,25514,418,0.12603817242352
w11-3,2,16,93.0506328745678,44,0.647738797741644,378.022727272727,16633,376.5,0.09902999261848
w11-3,2,17,161.92133562664,92,0.608656034092889,430.369565217391,39594,396.5,0.20706271183864
w11-3,2,18,1040.98885248845,1804,0.688434143009706,483.994456762749,873126,419,4.06022969735768
w11-3,2,19,111.097245078477,68,0.725192732630215,382.544117647059,26013,378.5,0.15304635222856
w11-3,2,20,140.457787660068,68,0.573602333400943,388.588235294118,26424,390,0.15304635222856
w11-3,2,21,277.087600502227,236,0.666512606293635,386.673728813559,91255,356.5,0.53116086949912
w11-3,2,22,85.8468428776341,40,0.658870086689502,347.025,13881,345,0.0900272660168
w11-3,2,23,181.032908167405,140,0.720242293634728,464.521428571429,65033,452,0.3150954310588
w11-3,2,24,830.754865002136,1124,0.629296677396631,525.524911032029,590690,469.5,2.52976617507208
w11-3,2,25,79.8294543307396,52,0.843962583467025,346.134615384615,17999,332,0.11703544582184
w11-3,2,26,1111.25818177534,1176,0.484849963714145,524.808673469388,617175,477,2.64680162089392
w11-3,2,27,3025.87309324755,6332,0.547008429686014,725.190145293746,4591904,526,14.2513162104594
w11-3,2,28,182.058585167787,140,0.716184611023373,321.771428571429,45048,309,0.3150954310588
w11-3,2,29,116.571088278678,64,0.663763330473629,364.015625,23297,366,0.14404362562688
w11-3,2,30,96.4694058843944,60,0.768296204157611,348.666666666667,20920,349.5,0.1350408990252
w11-3,2,31,85.8468428776341,40,0.658870086689502,353.35,14134,355,0.0900272660168
w11-3,2,32,91.8212735937269,56,0.770902575968611,323.339285714286,18107,327.5,0.12603817242352
w11-3,2,33,116.440419234393,56,0.607909665797687,373.035714285714,20890,371,0.12603817242352
w11-3,2,34,142.480965197906,100,0.73124112704349,403.23,40323,369.5,0.225068165042
w11-3,2,35,77.3185917024388,48,0.826090601098932,297.625,14286,304.5,0.10803271922016
w11-3,2,36,70.6024867959681,32,0.690394694225134,327.5625,10482,326.5,0.07202181281344
w11-3,2,37,64.8280221707233,32,0.751890627708357,331.8125,10618,327,0.07202181281344
w11-3,2,38,262.026099226749,216,0.664419046604676,401.166666666667,86652,385,0.48614723649072
w11-3,2,39,59.8081341612851,32,0.814999213177077,296.625,9492,294.5,0.07202181281344
w11-3,2,40,315.234057853256,256,0.618506548625872,416.19140625,106545,395,0.57617450250752
w11-3,2,41,192.738845677941,156,0.727106348241247,435.955128205128,68009,401,0.35110633746552
w11-3,2,42,923.890152351333,836,0.464516670762235,578.77990430622,483860,483,1.88156985975112
w11-3,2,43,308.308758924835,300,0.702930570574793,419.84,125952,374.5,0.675204495126
w11-3,2,44,5643.71744720021,12296,0.456486667952649,641.271226415094,7885071,536.5,27.6743815735643
w11-3,2,45,3884.42230954703,6681,0.441623320921884,580.545127974854,3878622,479,15.036804106456
w11-3,2,46,292.603098663753,152,0.47072535914795,356.414473684211,54175,349.5,0.34210361086384
w11-3,2,47,1818.85410932926,3588,0.623143231011497,698.802954292085,2507305,606,8.07544576170696
w11-3,2,48,568.23373169627,624,0.621460466504505,515.908653846154,321927,444,1.40442534986208
w11-3,2,49,433.873118747736,332,0.534416801389393,330.469879518072,109716,315,0.74722630793944
w11-3,2,50,114.839304234782,76,0.755560595209021,354.105263157895,26912,359,0.17105180543192
w11-3,2,51,68.0916241676673,32,0.71585283621685,346.75,11096,353,0.07202181281344
w11-3,2,52,318.518487324471,216,0.546577790495501,440.351851851852,95116,428.5,0.48614723649072
w11-3,2,53,303.901713308654,232,0.600818042354875,421.172413793103,97712,382,0.52215814289744
w11-3,2,54,436.862480230683,392,0.592920894880678,544.34693877551,213384,493,0.88226720696464
w11-3,2,55,100.672810915401,48,0.634452950253517,404.625,19422,401.5,0.10803271922016
w11-3,2,56,154.881944573691,120,0.759633593693866,343.041666666667,41165,341,0.2700817980504
w11-3,2,57,117.068001300242,56,0.604650763282281,308.357142857143,17268,303,0.12603817242352
w11-3,2,58,152.61400586704,96,0.664360629344053,342.28125,32859,329.5,0.21606543844032
w11-3,2,59,3060.25292210236,4956,0.459354175381837,683.922114608555,3389518,523.5,11.1543782594815
w11-3,2,60,241.169840216659,172,0.620173816837202,309.674418604651,53264,303,0.38711724387224
w11-3,2,61,281.321060938607,180,0.548020596789434,375.111111111111,67520,338.5,0.4051226970756
w11-3,2,62,76.8646365116759,36,0.685950137085547,341.222222222222,12284,336.5,0.08102453941512
w11-3,2,63,559.600616327648,680,0.668259613969769,496.113235294118,337357,451.5,1.5304635222856
w11-3,2,64,283.299443398479,200,0.583792350850625,393.185,78637,361.5,0.450136330084
w11-3,2,65,150.960725953167,118,0.770681298408624,353.923728813559,41763,320.5,0.26558043474956
w11-3,2,66,285.74284622738,208,0.59413387510391,348.735576923077,72537,317,0.46814178328736
w11-3,2,67,66.7334330897054,32,0.730422219062424,291.3125,9322,279.5,0.07202181281344
w11-3,2,68,72.8685882554557,44,0.827139738949985,363,15972,359,0.09902999261848
w11-3,2,69,127.075884666582,96,0.797875515488791,299.40625,28743,301,0.21606543844032
w11-3,2,70,773.40303609518,972,0.613558195951451,406.83024691358,395439,373,2.18766256420824
w11-3,2,71,156.98180984203,112,0.715780958917442,416.232142857143,46618,411.5,0.25207634484704
w11-3,2,72,104.790300284803,64,0.738385266408206,348.734375,22319,354,0.14404362562688
w11-3,2,73,211.546122299336,168,0.696014963675342,371.303571428571,62379,355,0.37811451727056
w11-3,2,74,216.093064890903,188,0.734426819893158,392.877659574468,73861,373.5,0.42312815027896
w11-3,2,75,145.81753873574,80,0.615745177309257,361.575,28926,354.5,0.1800545320336
w11-3,2,76,349.875826532854,276,0.585926186885158,369.086956521739,101868,363,0.62118813551592
w11-3,2,77,1652.58522114171,2540,0.544765259659575,565.654724409449,1436763,477.5,5.7167313920668
w11-3,2,78,200.234029168816,164,0.723617070268256,344.792682926829,56546,332.5,0.36911179066888
w11-3,2,79,137.078256291432,96,0.739655870504979,341.333333333333,32768,335.5,0.21606543844032
w11-3,2,80,235.324241297687,224,0.757965554214421,350.90625,78603,337.5,0.50415268969408
w11-3,2,81,1038.56018933214,940,0.446825231721659,315.578723404255,296644,294.5,2.1156407513948
w11-3,2,82,191.739507893321,152,0.718348034891853,334.868421052632,50900,319,0.34210361086384
w11-3,2,83,67.1855510333049,44,0.897105168303131,309.022727272727,13597,310,0.09902999261848
w11-3,2,84,140.704386076045,92,0.700435862207379,395.913043478261,36424,364,0.20706271183864
w11-3,2,85,88.1129443371218,56,0.80334685073395,342.035714285714,19154,338,0.12603817242352
w11-3,2,86,847.037800509612,1264,0.667440744821824,523.791930379747,662073,459,2.84486160613088
w11-3,2,87,259.911494285817,264,0.765704600281787,456.07196969697,120403,431,0.59417995571088
